# ----------------------------------------
# 報表數據匯報
# 帳戶：HsiungShao
# 資源：MultiStream Hub relese
# ----------------------------------------
#  
# 開始日期：20251206
# 結束日期：20260114
活躍使用者,新使用者人數,回訪者,平均工作階段持續時間
728,664,167,879.5594771932045

#  
# 開始日期：20251206
# 結束日期：20260114
網頁標題與畫面類別,瀏覽,活躍使用者,事件計數,跳出率
MultiStream Hub - 免費多平台直播串流觀看工具 | Twitch & YouTube,17657,589,49515,0.23990107172300082
MultiStream Hub - 多平台直播串流觀看工具 | Twitch & YouTube 同時觀看,639,80,2721,0.34299516908212563
MultiStream Hub,120,52,460,0.53125
MultiStream Hub - Multi-Platform Live Streaming Viewer | Watch Twitch & YouTube Simultaneously,19,25,79,0.56
關於我們 - MultiStream Hub,10,14,32,0.2
關於我們 - MultiStream Hub | 多平台直播串流觀看工具介紹,8,5,29,0.3333333333333333
MultiStream Hub - 多平台直播串流观看工具 | Twitch & YouTube 同时观看,5,3,15,0
隱私權政策 - MultiStream Hub,5,4,12,0
MultiStream Hub - 멀티 플랫폼 라이브 스트리밍 시청 도구 | Twitch & YouTube 동시 시청,4,2,14,0
服務條款 - MultiStream Hub | 使用條款與免責聲明,3,2,3,0
隱私權政策 - MultiStream Hub | 隱私保護與資料使用說明,3,3,10,0.6666666666666666
MultiStream Hub - マルチプラットフォームライブストリーミング視聴ツール | Twitch & YouTube 同時視聴,1,3,5,0
MultiStream Hub - 免,1,1,1,0
MultiStream Hub - 免費多平台直播串,1,1,1,0
MultiStream Hub - 免費多平台直播串流觀看工具 |Twitch 與 YouTube,0,1,3,0

#  
# 開始日期：20251206
# 結束日期：20260114
第 N 天,new,returning
0000,23,8
0001,14,5
0002,21,4
0003,11,3
0004,10,8
0005,5,4
0006,6,2
0007,24,7
0008,97,8
0009,51,7
0010,26,5
0011,19,12
0012,10,8
0013,34,8
0014,18,10
0015,17,6
0016,9,10
0017,11,3
0018,8,7
0019,41,16
0020,10,14
0021,10,12
0022,4,6
0023,5,6
0024,4,17
0025,76,24
0026,36,29
0027,20,21
0028,4,9
0029,8,11
0030,3,3
0031,39,3
0032,14,15
0033,0,11
0034,8,8
0035,7,7
0036,2,9
0037,7,5
0038,3,5
0039,0,0

#  
# 開始日期：20251206
# 結束日期：20260114
最初招攬到使用者的來源/媒介,活躍使用者
(direct) / (none),434
ref.gamer.com.tw / referral,146
l.threads.com / referral,74
gamer.com.tw / referral,11
bing / organic,9
google / organic,9
l.instagram.com / referral,7
ig_text_feed_timeline / referral,6
m.facebook.com / referral,6
ig_text_post_permalink / (not set),5
gemini.google.com / referral,2
ig_text_feed_profile / referral,2
ig_text_post_permalink / referral,2
spyhost.site / referral,2
t.co / referral,2
threads.com / referral,2
yahoo / organic,2
multistreamhub.cloudflareaccess.com / referral,1
tagassistant.google.com / referral,1

#  
# 開始日期：20251206
# 結束日期：20260114
工作階段來源/媒介,工作階段
(direct) / (none),893
ref.gamer.com.tw / referral,322
l.threads.com / referral,89
search.google.com / referral,34
google / organic,25
id.twitch.tv / referral,20
tagassistant.google.com / referral,17
ig_text_post_permalink / (not set),14
gamer.com.tw / referral,12
bing / organic,11
l.instagram.com / referral,7
ig_text_feed_timeline / referral,6
m.facebook.com / referral,6
threads.com / referral,5
multistreamhub.cloudflareaccess.com / referral,3
gemini.google.com / referral,2
ig_text_feed_profile / referral,2
ig_text_post_permalink / referral,2
spyhost.site / referral,2
t.co / referral,2
yahoo / organic,2

#  
# 開始日期：20251206
# 結束日期：20260114
目標對象名稱,活躍使用者
All Users,728

#  
# 開始日期：20251206
# 結束日期：20260114
事件名稱,事件計數
page_view,18479
stream_heartbeat,10874
scroll,7294
stream_heartbeat_tick_internal,5535
user_engagement,3742
ms_identity_ready,3166
session_start,1419
first_visit,665
video_start,409
video_progress,334
Change_layout,284
container_loaded,168
Change_chat_layout,157
consent,117
video_complete,100
Open_modal,83
Page_view,14
Switch_tab,14
click,11
Batch_import,7
form_start,7
Click_nav,5
Click_support,5
Remove_favorite,4
Add_category,2
Batch_delete,2
Toggle_mute_all,2
Add_favorite,1
Batch_set_category,1
Remove_tag,1
view_search_results,1

#  
# 開始日期：20251206
# 結束日期：20260114
裝置類別,活躍使用者
desktop,545
mobile,178
tablet,4
smart tv,2

#  
# 開始日期：20251206
# 結束日期：20260114
第 N 天,事件計數
0000,484
0001,224
0002,866
0003,183
0004,818
0005,161
0006,51
0007,307
0008,915
0009,789
0010,1096
0011,612
0012,663
0013,792
0014,430
0015,639
0016,432
0017,191
0018,262
0019,25231
0020,1459
0021,663
0022,433
0023,285
0024,1367
0025,4400
0026,2239
0027,1887
0028,189
